ID,Owner,Title,"For (Male, Female, both)",Type 1,Type 2,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10,Tag11,Tag12,Tag13,Tag14,Tag15
23,Safwan,Graffiti style Wide Leg Pants,Both,Bottom,Sleepwear,Pajamas,Comfy ,Colorful pants,Sleeping pants,Indoor,Unique design,custom design,custom made,Stylish,graffiti style,washable,wide leg pants,plus size pants,,
24,Safwan,Fiery American Shorts,Male,Bottom,Sleepwear/Activewear,Summer collection,Comfy ,Short length pants,colorful pants,fiery design,Custom made,custom design,stylish,casual style,beachwear ,sleepwear,sleeping shorts,gym shorts,washable,breathable
25,Safwan,Oceanic Tank Top Dress,Female,Dress,Outfit,Summer collection,Comfy ,breahtable,short length,skirt type dress,Top,Outfit,Tank top style dress,chich style,outdoor,party wear,indoor ,Oceanic design,custom made,custom design
26,Safwan,Lion design hawaian shirt,Male,Top,Shirt,Summer collection,comfy,breahtable,half sleeve,lion design,beast design,Top,Hawaiian style,Fiery look,Fiery design,Outdoor,Party wear,custom made,custom design,washable
27,Safwan,Sporty Zipup Hoodie,Male,Top,Activewear,Winter collection,Comfy,Zipup hoodie,Printed hoodie,Electric design,Custom design,fiery design,stylish,Outdoor,gymwear,Sportswear,Winter wear,custom made,electrify,Flash
28,Safwan,No off Season night suit,Male,Outfit,Sleepwear,Sleepwear collection,Comfy,half sleeve shirt,shorts,printed shorts,sporty shorts,custom design,fiery design,outdoor,indoor,activewear ,sleeping shorts,custom made,breathable,sleepwear
29,Safwan,The Grind Jersey Set,Male,Outfit,Activewear,Gymwear  ,Gym collection,comfy,Activewear clothes,Jerseys,Sets,custom design,fiery design,The Grindy Design,Flashy ,Outdoor,Stylish gym set,custom made,breathable,Eleectrify
30,Safwan,No off Season Night dress,Female,Outfit,Sleepwear,Sleepwear collection,Comfy,half sleeve shirt,shorts,printed shorts,sporty shorts,custom design,fiery design,outdoor,indoor,activewear ,sleeping shorts,custom made,breathable,eleectrify
31,Safwan,The Grind Polo shirt,Male,Top,Activewear,Gym collection,Summer collection,comfy,half sleeve,half sleeve shirt,polo shirt,casual shirt,custom made,custom design,grindy design,indoor,outdoor,activewear,casual style,partywear 
32,Safwan,No Off Season Long T-shirt,Male,Top,Activewear,winter collection,long sleeves ,Long Sleeve T shirt,Long T Shirt,Gymwear,Gym collection,Sporty look,Sporty,custom made,custom design,fiery look,outdoor,indoor,Stylish,partywear 
33,Safwan,Oversize Viby Hoodie,Female,Top,Sleepwear/Outfit,winter collection,long sleeves ,Oversize hoodie,Blanket hoodie,Sleepwear,Sleepwear collection,Casual ,indoor ,Viby,Nature design,custom made,custom design,Viby design,Stylish,comfy
34,Safwan,Fiery Scarred Hoodie Set,Male,Outfit,Activewear,Winter collection,long sleeves ,Hoodie set,Hoodie,Custom made hoodie,Pants + hoodie,Trousers,Indoor,Outdoor,Trekking suit,Fiery design,Comfy,Breathable,Fiery look,Gymwear
35,Safwan,Good Vibes Hoodie Set,Both,Outfit,Activewear,Winter collection,long sleeves ,Hoodie set,Hoodie,Custom made hoodie,Pants + hoodie,Trousers,indoor,Outdoor,Trekking suit,unisex,Nature design,comfy,breathable,Gymwear
36,Safwan,Vibin in the wild Hoodie Set,Both,Outfit,Activewear,Winter collection,long sleeves ,Hoodie set,Hoodie,Custom made hoodie,Pants + hoodie,Trousers,indoor,outdoor,Trekking suit,unisex,Nature design,comfy,breathable,Gymwear
37,Safwan,Good Vibes Polo Shirt,Female,Top,Shirt,Summer collection,short sleeves,half sleeve shirt,half sleeve,comfy,polo shirt,Outdoor,indoor,casual wear,casual style,casual clothing,casual chic style,nature design,custom made,custom design
38,Safwan,No Off Season Tennis Skirt,Female,Bottom,activewear,Summer collection,sportwear,activewear,gymwear,tennis outfit,tennis skirt,fiery design,Fiery look,outdoor,indoor,fiery style,Mini Skirt,Sporty look,custom made,custom design
39,Safwan,Vibin In The Wild Dress,Female,Dress,Outfit,Summer collection,casual style,casual clothing,nature desing,custom made  ,custom design,Outdoor,party wear,indoor,chic style,Knee length dress,Sleeveless dress,casual chich style,breathable,washable
40,Safwan,Floral print skirt,Female,Bottom,Skirt,Summer collection,casual style,casual clothing,chich style,Floral print,floral design,flower print,party wear,indoor,outdoor,loungewear,Mini Skirt,above knee length,breathable,custom design
41,Safwan,Good Vibe Half Sleeve T-Shirt,Male,Top,T-Shirt,Summer collection,Casual style,casual clothing,nature design,custom made,custom design,outdoor,indoor,loungewear,half sleeve,breathable,washable,comfy,stretchable,
42,Safwan,No Off Season Sporty V-Neck T-Shirt,Unisex,Top,Activewear,Summer collection,sportwear,Sport collection,fiery design,custom made,sporty look,Indoor,outdoor,outerwear,gymwear,breathable,fiery style,V-Neck,stretchable,custom design
43,Safwan,Rise Above Athletic T-Shirt,Unisex,Top,Activewear,Summer collection,sportwear,Sport collection,fiery design,custom made,sporty look,Indoor,outdoor,outerwear,gymwear,breathable,fiery style,Round neck,stretchable,custom design
44,Safwan,Rise Above Sleeveless Vest,Men,Top,Activewear,Summer collection,sleepwear,sportwear,fiery design,custom made,comfortable ,polyester,indoor,outdoor,gymwear,breathable,fiery style,Sporty look,gym collection,stretchable
45,Safwan,Wavy Casual Shirt,Men,Top,Shirt,Summer collection,half sleeve,half sleeve shirt,casual shirt,casual style,wavy style,comfortable,outdoor,partywear,wavy design,custom made,custom design,Polyester,shirt collection,WAVY
46,Safwan,Rise Above Crewneck Sweatshirt,Both,Top,Activewear,Winter collection,Full sleeve,sweatshirt,sporty shirt,Crewneck,custom made,Sporty style,Comfortable,Lightweight,washable,partywear,gym wear,polyester,shirt collection,Fiery design
47,Safwan,Rise Above Jersey,Men,Top,Activewear,Winter collection,Full sleeve,Jersey,Gymwear,Sportwear,Sporty,custom design,custom made,Hoodie style,outdoor,indoor,party wear,polyester,Hoodie collection,Fiery design
48,Safwan,Butterfly Tank Top Dress,Female,Dress,Outfit,Summer collection,Sleeveless,Indoor,Outdoor,Party wear,Chic style,Custom design,Butterfly design,Flower design,washable,breathable,custom made,butterfly print,tank top design,stretchable
49,Safwan,Wavy crop top hoodie,Female,Top,Activewear,Winter collection,Full sleeve,Indoor,Outdoor,Party wear,Chic style,Crop top,Custom made,Custom design,wavy design,Washable,Breathable,Hood style,Water print,crop top style
50,Safwan,Sunny Night Dress,Female,Dress,Outfit,Sleepwear collection,Full sleeve,pants + top,Indoor,loungewear,sleepwear  ,chich style,night dress,night pajama,Sunny design,Washable,breathable,custom made,custom design,polyester
51,Safwan,Fuel The Grind Hoodie,Male,Top,Activewear,Winter collection,gym collection,Black hoodie,Green hoodie,Indoor,Outdoor,sporty,Custom made,fiery look,Sporty  ,Washable,breathable,custom design,waterproof,polyester
52,Safwan,Wavy Polo Shirt,Female,Top,Polo Shirt,Summer collection,half sleeve,polo shirt,wavy design,water print,Indoor,outdoor,chich style,polo style,party wear,Washable,breathable,custom design,custom made,polyester
53,Safwan,Dripzora Silk Pajama Robe,Female,Outfit,Sleepwear,Sleepwear collection,robe,silk,Dripzora merch,Indoor,sleepwear ,chic style,custom made,custom design,washable,breathable,Silky robe,Polyester,Dripzora design,
54,Safwan,Drippin' Casual T-Shirt,Male,Top,Casual T-Shirt,Summer collection,half sleeve,casual clothing,casual style,Drip ,Indoor,Outdoor,party wear,Outdoor collection,custom design,custom made,simple design,polyester,plain t shirt,black t shirt
55,Safwan,Drippin' Crewneck Sweatshirt,Both,Top,Sweatshirt,Winter collection,Full sleeve,Crew Neck,Casual style,Unisex,Drip,Drippin',Indoor,Outdoor,party wear,sporty,Polyester,custom made,custom design,black Sweat Shirt
56,Safwan,Drippin' Tank Top,Male,Top,Activewear,Sleepwear collection,Activewear collection,Sleeveless,Drippin' Style,Drip ,Sportswear,Outdoor,Indoor,Comfy,sporty,custom made,custom design,simple design,polyester,black tank top
57,Safwan,Rockstar Polo T-Shirt,Male,Top,Polo Shirt,Summer collection,Polo Shirt,half sleeve shirt,half sleeve,Rockstar Style,partywear ,Outdoor,Fiery Style,Fiery design,custom design,custom made,polyester,black Tee,Drip ,Drippy
58,Safwan,Rockstar Zipper Hoodie,Male,Top,Activewear,Winter collection,Activewear collection,Hoodie set,Hoodie collection,Full Sleeve,Rockstar Style,Partywear,outdoor,Fiery design,custom design,custom made,comfy,breathable,Rockstar design,Firy.
59,Safwan,,,,,,,,,,,,,,,,,,,
60,Safwan,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,
72,Mohib,Good Morning My love (Chinese) Hoodie,both,Top,Hoodie,Printed Hoodie,Text,chinese,pocket hoodie,minimalist,unisex,Casual,Gray,White,Black,Comfortable,Washable,,,
